project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P126791,Request for Expression of Interest,OP00038325,Antigua and Barbuda,2016,,World Bank,MDB-financed,,Social Protection; Other Public Administration; Public Administration - Social Protection; Central Government (Central Agencies); Social Protection,,,USD,,,,,,,,,,,,,,,,,Consultant Qualification  Selection,,,1.0,,OP00038325,,4.3.2.1,Public and Social Sector Transformation Project (PSST),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00038325
P110599,General Procurement Notice,OP00020194,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,,,,,,OP00020194,,,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00020194
P110599,Request for Expression of Interest,OP00040284,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00040284,,FESPII-1373-SBCC-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040284
P110599,Contract Award,OP00040092,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00040092,,FESPII-1061-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040092
P110599,Contract Award,OP00040094,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00040094,,FESPII-1061-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040094
P110599,Contract Award,OP00040090,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00040090,,FESPII-1061-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040090
P110599,Contract Award,OP00040091,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00040091,,FESPII-1061-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040091
P110599,Contract Award,OP00040093,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00040093,,FESPII-1061-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00040093
P116989,Contract Award,OP00039949,Argentina,2016,,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00039949,,LPI 02-2016,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039949
P116989,Contract Award,OP00039844,Argentina,2016,,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00039844,,LPI 01-2016,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039844
P116989,Contract Award,OP00039690,Argentina,2016,,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00039690,,PP 03-2016,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039690
P106735,Contract Award,OP00039499,Argentina,2016,,World Bank,MDB-financed,,Health; Public Administration - Health; Health; Central Government (Central Agencies); Social Protection,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00039499,,PHIP-870-LPI-B,Provincial Public Health Insurance Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039499
P106735,Contract Award,OP00039500,Argentina,2016,,World Bank,MDB-financed,,Health; Public Administration - Health; Health; Central Government (Central Agencies); Social Protection,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00039500,,PHIP-870-LPI-B,Provincial Public Health Insurance Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039500
P116989,Contract Award,OP00039226,Argentina,2016,,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00039226,,PP01-2016,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039226
P116989,Contract Award,OP00039227,Argentina,2016,,World Bank,MDB-financed,,Other Transportation; Rural and Inter-Urban Roads; Health; Other Public Administration; Other Public Administration; Health; Roads and highways; Other Transportation,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00039227,,PP 02-2016,AR Road Safety,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039227
P110599,Contract Award,OP00039116,Argentina,2016,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00039116,,FESPII-1350-LPI-B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00039116
