project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P179534,Contract Award,OP00330678,Argentina,2024,2024/12/12,World Bank,MDB-financed,IBRD95410,Health Facilities and Construction; Health; Public Administration - Health,goods,,ARS,92400000.0,Day,90.0,90.0,EXO SA,369886.0,Argentina,0.0,,2.0,0.0,Estados Unidos,153092478.00,Argentina; Estados Unidos,ARS; ARS,199916640.00; 153092478.00,Request for Bids,,,,1.0,OP00330678,2024/12/12,AR-DPOMFB-395517-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00330678
P179534,Contract Award,OP00330679,Argentina,2024,2024/12/12,World Bank,MDB-financed,IBRD95410,Health Facilities and Construction; Health; Public Administration - Health,goods,,ARS,39347616.0,Day,90.0,90.0,DATAWISE S.A.,894948.0,Argentina,0.0,,2.0,0.0,Estados Unidos,52646101.20,Estados Unidos; Argentina,ARS,52646101.20,Request for Bids,,,,1.0,OP00330679,2024/12/12,AR-DPOMFB-395517-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00330679
P179534,Contract Award,OP00330677,Argentina,2024,2024/12/12,World Bank,MDB-financed,IBRD95410,Health Facilities and Construction; Health; Public Administration - Health,goods,,ARS,102286800.0,Day,90.0,90.0,WEB LOGIST BUSSINESS SA,894947.0,Argentina,0.0,,3.0,0.0,Estados Unidos,120480360.00,Argentina; Estados Unidos; Argentina,ARS; ARS,148776012.00; 120480360.00,Request for Bids,,,,1.0,OP00330677,2024/12/12,AR-DPOMFB-395517-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00330677
P179534,Contract Award,OP00330676,Argentina,2024,2024/12/12,World Bank,MDB-financed,IBRD95410,Health Facilities and Construction; Health; Public Administration - Health,goods,,ARS,4130280000.0,Day,120.0,120.0,EXO SA,369886.0,Argentina,0.0,,4.0,0.0,Italia,4316512.00,Argentina; Argentina; Estados Unidos; Italia,ARS; ARS; ARS; ARS,3079692000.00; 3839081400.00; 4172651590.80; 4316512.00,Request for Bids,,,,1.0,OP00330676,2024/12/12,AR-DPOMFB-395517-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00330676
P175669,Contract Award,OP00330579,Argentina,2024,2024/12/26,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",works,,ARS,5603956784.22,Day,480.0,480.0,CONCRET NOR S.A,170405.0,Argentina,0.0,,3.0,0.0,Argentina,5399199008.86,Argentina; Argentina; Argentina,ARS; ARS; ARS,11703192977.11; 5399199008.86; 8695941452.92,Request for Bids,,,,1.0,OP00330579,2024/12/26,AR-APN-284343-CW-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00330579
P174946,Contract Award,OP00327784,Argentina,2024,2024/11/22,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,16335.0,Day,65.0,65.0,BERGES FEDERICO GERMAN,927841.0,Argentina,0.0,,2.0,0.0,Argentina,17545.00,Argentina; Argentina,USD; USD,17545.00; 19360.00,Request for Quotations,,,,1.0,OP00327784,2024/11/22,AR-SIP-441360-NC-RFQ,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00327784
P159843,Contract Award,OP00329863,Argentina,2024,2022/08/03,World Bank,MDB-financed,IBRD89910,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,42000.0,Month,5.0,152.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00329863,2022/08/03,AR-OPISU-301815-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00329863
P174946,Request for Expression of Interest,OP00329225,Argentina,2024,,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,33000.0,,,,,,,,,,,,,,,,Least Cost Selection,,,,,OP00329225,,AR-SIP-464283-CS-LCS,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00329225
P176781,Contract Award,OP00328880,Argentina,2024,2024/12/16,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,goods,,USD,349313.16,Day,10.0,10.0,ACSYS,781457.0,Argentina,0.0,,1.0,1.0,,,,,,Direct Selection,,,,1.0,OP00328880,2024/12/16,AR-MTESS-389248-NC-DIR,Promoting Better Jobs through Integrated Labor and Skills Programs,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328880
P174946,Contract Award,OP00328446,Argentina,2024,2024/04/12,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,20000.0,Day,76.0,76.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00328446,2024/04/12,AR-SIP-418065-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328446
P174946,Contract Award,OP00328472,Argentina,2024,2024/03/30,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,20000.0,Month,3.0,92.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00328472,2024/03/30,AR-SIP-418068-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328472
P174946,Contract Award,OP00328267,Argentina,2024,2024/05/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,40000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00328267,2024/05/27,AR-SIP-405747-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328267
P174946,Contract Award,OP00328264,Argentina,2024,2024/03/08,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,60000.0,Day,17.0,17.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00328264,2024/03/08,AR-SIP-405746-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328264
P174946,Contract Award,OP00325593,Argentina,2024,2024/10/31,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,1039801.4,Month,12.0,366.0,BOTMAKER S.R.L.,756353.0,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00325593,2024/10/31,AR-SIP-389285-NC-RFB,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00325593
P174946,Contract Award,OP00328276,Argentina,2024,2024/11/19,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,19000.0,Day,43.0,43.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00328276,2024/11/19,AR-SIP-428536-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00328276
P174946,Contract Award,OP00327979,Argentina,2024,2024/03/30,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,20000.0,Month,3.0,92.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00327979,2024/03/30,AR-SIP-418067-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00327979
P174946,Contract Award,OP00327918,Argentina,2024,2024/09/10,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,26646.24,Day,20.0,20.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00327918,2024/09/10,AR-SIP-446877-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00327918
