project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P133193,Contract Award,OP00159056,Argentina,2021,,World Bank,MDB-financed,IBRD85080,Health,goods,,USD,75000.0,Day,90.0,90.0,GRUPO ARIES SALUD S.A,630630.0,Argentina,0.0,,2.0,0.0,Argentina,46210.00,Argentina; Argentina,USD; USD,46210.00; 61710.00,Request for Quotations,,,,1.0,OP00159056,,AR-MSAL-212405-GO-RFQ,Protecting Vulnerable People Against Noncommunicable Diseases Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00159056
P161798,General Procurement Notice,OP00042258,Argentina,2021,,World Bank,MDB-financed,,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00042258,,,Salado Integrated River Basin Management Support Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00042258
P158791,Contract Award,OP00158542,Argentina,2021,,World Bank,MDB-financed,IBRD86330,Social Protection,goods,,USD,283500.0,Day,90.0,90.0,CORADIR SA,449682.0,Argentina,0.0,,3.0,0.0,Argentina,321000.00,Argentina; Argentina; Argentina,USD; USD; USD,321000.00; 322671.00; 353100.00,Request for Bids,,,,1.0,OP00158542,,AR-ANSES-147219-GO-RFB,Children and Youth Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158542
P158791,Contract Award,OP00158543,Argentina,2021,,World Bank,MDB-financed,IBRD86330,Social Protection,goods,,USD,3450000.0,Day,90.0,90.0,GRUPO NUCLEO SA,454406.0,Argentina,0.0,,2.0,0.0,Argentina,3709230.00,Argentina; Argentina,USD; USD,3726000.00; 3709230.00,Request for Bids,,,,1.0,OP00158543,,AR-ANSES-147219-GO-RFB,Children and Youth Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158543
P159843,Invitation for Bids,OP00158400,Argentina,2021,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,works,,USD,10180207.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00158400,,AR-UFOMC-257207-CW-RFB,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158400
P132846,Contract Award,OP00158370,Argentina,2021,,World Bank,MDB-financed,IBRD84930,"Forestry; Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry; Forestry; Agricultural Extension, Research, and Other Support Activities; Public Administration - Agriculture, Fishing & Forestry",goods,,ARS,2800000.0,Day,90.0,90.0,ASOCIACIÓN DE APICULTORES DE JUAN JOSÉ CASTELLI,629196.0,Argentina,0.0,,1.0,1.0,,,,,,Request for Quotations,,,,1.0,OP00158370,,AR-MADS-252767-GO-RFQ,Forests and Community,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158370
P158791,Contract Award,OP00158251,Argentina,2021,,World Bank,MDB-financed,IBRD86330,Social Protection; Public Administration - Social Protection,goods,,USD,2199763.2,Year,3.0,1095.0,COLCAR MERBUS S.A.,139668.0,Argentina,0.0,,3.0,0.0,Argentina,2662800.00,Argentina; Argentina; Argentina,USD; USD; USD,3079500.00; 2693669.40; 2662800.00,Request for Bids,,,,1.0,OP00158251,,AR-ANSES-147214-GO-RFB,Children and Youth Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158251
P158791,Contract Award,OP00158246,Argentina,2021,,World Bank,MDB-financed,IBRD86330,Social Protection,goods,,USD,213774.0,Month,36.0,1095.0,QUICK SUPPLIES S.R.L.,605459.0,Argentina,0.0,,1.0,1.0,Argentina,239400.00,Argentina,USD,239400.00,Request for Bids,,,,1.0,OP00158246,,AR-ANSES-147219-GO-RFB,Children and Youth Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158246
P175138,Contract Award,OP00158073,Argentina,2021,,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,works,,ARS,1609158772.43,Day,1440.0,1440.0,PANEDILE ARGENTINA S.A.I.C.F E I. - SIEMENS S.A - TECNOLOGÍA EN SERVICIOS URBANOS - TESUR S.A - UT,627325.0,Argentina,0.0,,4.0,0.0,Argentina,1721515929.19,Argentina; Argentina; Argentina; Argentina,ARS; ARS,1721515929.19; 2033802355.94,Request for Bids,,,,1.0,OP00158073,,AR-DGPPSE - ADIF-256719-CW-RFB,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158073
P114294,Contract Award,OP00157839,Argentina,2021,,World Bank,MDB-financed,TFA0233,"Forestry; Public Administration - Agriculture, Fishing & Forestry; Forestry; Other Agriculture, Fishing and Forestry",goods,,ARS,323780.0,Day,30.0,30.0,ALFREDO ROBERTO NUÑEZ,603707.0,Argentina,0.0,,1.0,1.0,Argentina,648780.00,Argentina,ARS,648780.00,Request for Quotations,,,,1.0,OP00157839,,AR-APN-222338-GO-RFQ,Rural Corridors and Biodiversity,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157839
P161798,Contract Award,OP00157880,Argentina,2021,,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,6787.0,Month,7.0,213.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00157880,,AR-UCEPO-227345-CS-INDV,Salado Integrated River Basin Management Support Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00157880
