project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P150338,Request for Expression of Interest,OP00031141,Antigua and Barbuda,2015,,World Bank,MDB-financed,,"Other Energy and Extractives; Other Water Supply, Sanitation and Waste Management; Other Energy and Extractives; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,1.0,,OP00031141,,N.A,AG Roadmap to improve water & energy services,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00031141
P105680,Contract Award,OP00035705,Argentina,2015,,World Bank,MDB-financed,,"Sanitation; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Water Supply; Other Transportation; Other Public Administration; Other Water Supply, Sanitation and Waste Management; Central Government (Central Agencies)",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035705,,DI-LPI 0004/12,Matanza-Riachuelo Basin Sustainable Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035705
P110599,Contract Award,OP00035580,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035580,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035580
P110599,Contract Award,OP00035575,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035575,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035575
P110599,Contract Award,OP00035568,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035568,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035568
P110599,Contract Award,OP00035569,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035569,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035569
P110599,Contract Award,OP00035571,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035571,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035571
P110599,Contract Award,OP00035579,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035579,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035579
P110599,Contract Award,OP00035574,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035574,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035574
P110599,Contract Award,OP00035577,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035577,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035577
P110599,Contract Award,OP00035570,Argentina,2015,,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00035570,,FESP II 1070 LPI B,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00035570
