project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P120198,Contract Award,OP00082218,Argentina,2019,,World Bank,MDB-financed,IBRD79910,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,goods,,USD,505541.0,Day,120.0,120.0,HEELT,386395,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00082218,,AR-DNV-113323-GO-RFB,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00082218
P120198,Contract Award,OP00082217,Argentina,2019,,World Bank,MDB-financed,IBRD79910,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,goods,,EUR,1493055.0,Day,120.0,120.0,CONTROLS,103732,Italia,0.0,,1.0,1.0,,,,,,Request for Bids,,,,0.0,OP00082217,,AR-DNV-113323-GO-RFB,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00082217
P162316,Contract Award,OP00081570,Argentina,2019,,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,,USD,1800000.0,Year,4.0,1460.0,,,,,,,,,,,,,Direct Selection,,,,,OP00081570,,AR-UCAR-94920-GO-DIR,Integrated Risk Management in the Rural Agroindustrial System,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00081570
P159843,Contract Award,OP00081328,Argentina,2019,,World Bank,MDB-financed,IBRD87060,Public Admin,works,,ARS,608626574.69,Day,480.0,480.0,CONSTRUCTORA SUDAMERICANA SA,343094,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00081328,,AR-UFOMC-13527-CW-RFB,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00081328
P125151,Invitation for Bids,OP00078231,Argentina,2019,,World Bank,MDB-financed,IBRD80320,"Sanitation; Water Supply; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management",goods,,USD,6141000.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00078231,,AR-MININTERIOR-112642-GO-RFB,Plan Belgrano Water Supply and Sanitation Services Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00078231
P159843,Contract Award,OP00080802,Argentina,2019,,World Bank,MDB-financed,IBRD87070,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,9170.0,Month,4.0,122.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00080802,,AR-UCEPO-75253-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00080802
P159843,Contract Award,OP00080804,Argentina,2019,,World Bank,MDB-financed,IBRD87070,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,6670.0,Month,4.0,122.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00080804,,AR-UCEPO-75252-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00080804
P120198,Contract Award,OP00080709,Argentina,2019,,World Bank,MDB-financed,IBRD79910,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,goods,,USD,164066.74,Day,30.0,30.0,AMERICAN TRAFFIC S.A.,195803,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00080709,,AR-DNV-128847-GO-RFB,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00080709
P120198,Contract Award,OP00080656,Argentina,2019,,World Bank,MDB-financed,IBRD79910,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,goods,,USD,119378.6,Day,30.0,30.0,RUNCO S.A.,195718,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00080656,,AR-DNV-99645-GO-RFB,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00080656
P120198,Contract Award,OP00080657,Argentina,2019,,World Bank,MDB-financed,IBRD79910,Rural and Inter-Urban Roads; Public Administration - Transportation; Roads and highways; Sub-National Government; Other Transportation,goods,,USD,163599.98,Day,30.0,30.0,GEOSISTEMAS,415585,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00080657,,AR-DNV-99645-GO-RFB,Norte Grande Road Infrastructure,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00080657
