project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P161798,Request for Expression of Interest,OP00110487,Argentina,2020,,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,900000.0,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00110487,,AR-UCEPO-188571-CS-QCBS,Salado Integrated River Basin Management Support Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00110487
P145686,Contract Award,OP00109393,Argentina,2020,,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,2000000.0,Month,7.0,214.0,CADIA SA,485999.0,Argentina,0.0,,1.0,1.0,,,,,,Quality And Cost-Based Selection,,,,1.0,OP00109393,,AR-UFOMC-171493-CS-QCBS,AR Flood Risk Management Support Project for the City of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00109393
P157136,Invitation for Bids,OP00108522,Argentina,2020,,World Bank,MDB-financed,IBRD87100,Central Government (Central Agencies); ICT Services; ICT Infrastructure,goods,,USD,2702380.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00108522,,AR-SIP-175877-GO-RFB,Modernization and Innovation for Better Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00108522
P159843,Contract Award,OP00107748,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,works,,ARS,148537096.0,Day,220.0,220.0,UNION TRANSITORIA ALTOTE SA - BOSQUIMANO SA,534427.0,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00107748,,AR-UFOMC-114369-CW-RFB,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00107748
P159843,Contract Award,OP00107380,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,61822.0,Day,120.0,120.0,,,,,,,,,,,,,Consultant Qualification  Selection,,,,,OP00107380,,AR-UFOMC-105967-CS-CQS,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00107380
P159843,Contract Award,OP00107394,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,444000.0,Month,15.0,458.0,,,,,,,,,,,,,Direct Selection,,,,,OP00107394,,AR-UFOMC-126298-CS-CDS,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00107394
P159843,Contract Award,OP00107130,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,691906.0,Month,10.0,305.0,PREPOLITAN S.A.,533488.0,Argentina,0.0,,1.0,1.0,,,,,,Quality And Cost-Based Selection,,,,1.0,OP00107130,,AR-UFOMC-113329-CS-QCBS,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00107130
P159843,Contract Award,OP00106756,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,30521.37,Week,12.0,84.0,,,,,,,,,,,,,Consultant Qualification  Selection,,,,,OP00106756,,AR-UFOMC-93031-CS-CQS,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106756
P159843,Contract Award,OP00106758,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,20304.37,Month,6.0,183.0,,,,,,,,,,,,,Consultant Qualification  Selection,,,,,OP00106758,,AR-UFOMC-96264-CS-CQS,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106758
P159843,Contract Award,OP00106573,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,4864.86,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106573,,AR-UFOMC-85501-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106573
P159843,Contract Award,OP00106576,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,4378.38,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106576,,AR-UFOMC-85503-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106576
P159843,Contract Award,OP00106541,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,8108.11,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106541,,AR-UFOMC-85494-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106541
P159843,Contract Award,OP00106578,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,25918.68,Month,12.0,366.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106578,,AR-UFOMC-85481-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106578
P159843,Contract Award,OP00106548,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,7297.3,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106548,,AR-UFOMC-83922-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106548
P159843,Contract Award,OP00106553,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,4864.86,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106553,,AR-UFOMC-85495-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106553
P159843,Contract Award,OP00106554,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,5675.68,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106554,,AR-UFOMC-85500-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106554
P159843,Contract Award,OP00106506,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,34600.0,Month,7.0,214.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106506,,AR-UFOMC-117911-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106506
P159843,Contract Award,OP00106111,Argentina,2020,,World Bank,MDB-financed,IBRD87060,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,8527.0,Month,6.0,183.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00106111,,AR-UFOMC-97117-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00106111
