project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P161798,Invitation for Bids,OP00198496,Argentina,2022,,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",goods,,USD,4995750.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00198496,,AR-UCEPO-237436-GO-RFB,Salado Integrated River Basin Management Support Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00198496
P163345,Request for Expression of Interest,OP00209784,Argentina,2022,,World Bank,MDB-financed,IBRD92220,Health; Public Administration - Health,consulting,,USD,173745.0,,,,,,,,,,,,,,,,Quality Based Selection,,,,,OP00209784,,AR-MSAL-327962-CS-QBS,Supporting Effective Universal Health Coverage in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00209784
P174946,Request for Expression of Interest,OP00206120,Argentina,2022,,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,400000.0,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00206120,,AR-SIP-291865-CS-QCBS,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00206120
P162316,Contract Award,OP00209328,Argentina,2022,,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",consulting,,USD,8714.0,Month,6.0,182.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00209328,,AR-UCAR-227311-CS-INDV,Integrated Risk Management in the Rural Agroindustrial System,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00209328
P159843,Contract Award,OP00209338,Argentina,2022,,World Bank,MDB-financed,IBRD87070,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,,USD,36000.0,Month,4.0,122.0,,,,,,,,,,,,,Individual Consultant Selection,,,,,OP00209338,,AR-OPISU-305393-CS-INDV,Metropolitan Buenos Aires Urban Transformation Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00209338
P106685,Contract Award,OP00208583,Argentina,2022,,World Bank,MDB-financed,IBRD80930,"Agricultural markets, commercialization and agri-business; Social Protection; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management; Public Administration - Agriculture, Fishing & Forestry; Social Protection",consulting,,USD,26166.4,Month,12.0,365.0,,,,,,,,,,,,,Direct Selection,,,,,OP00208583,,AR-UCAR-184960-CS-CDS,AR Socio-Economic Inclusion In Rural Areas,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00208583
P158791,Contract Award,OP00208545,Argentina,2022,,World Bank,MDB-financed,IBRD86330,Social Protection; Public Administration - Social Protection,goods,,ARS,5956600.0,Day,10.0,10.0,DS TECNO SRL,713752,Argentina,0.0,,1.0,1.0,,,,,,Request for Quotations,,,,1.0,OP00208545,,AR-MDS-274812-GO-RFQ,Children and Youth Protection Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00208545
P106685,Contract Award,OP00208580,Argentina,2022,,World Bank,MDB-financed,IBRD80930,"Agricultural markets, commercialization and agri-business; Social Protection; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management; Public Administration - Agriculture, Fishing & Forestry; Social Protection",consulting,,USD,124554.29,Month,12.0,365.0,,,,,,,,,,,,,Direct Selection,,,,,OP00208580,,AR-UCAR-184954-CS-CDS,AR Socio-Economic Inclusion In Rural Areas,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00208580
P106685,Contract Award,OP00208582,Argentina,2022,,World Bank,MDB-financed,IBRD80930,"Agricultural markets, commercialization and agri-business; Social Protection; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management; Public Administration - Agriculture, Fishing & Forestry; Social Protection",consulting,,USD,62277.14,Month,12.0,365.0,,,,,,,,,,,,,Direct Selection,,,,,OP00208582,,AR-UCAR-184959-CS-CDS,AR Socio-Economic Inclusion In Rural Areas,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00208582
P133288,Contract Award,OP00208028,Argentina,2022,,World Bank,MDB-financed,IBRD84840,Renewable Energy Solar; Renewable Energy Solar,works,,USD,909248.39,Month,10.0,304.0,FABRICA SRL,506969,Argentina,0.0,,1.0,1.0,Argentina,865795.61,Argentina,USD,865795.61,Request for Bids,,,,1.0,OP00208028,,AR-SE-226417-CW-RFB,Argentina Renewable Energy for Rural Areas Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00208028
