project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P178609,Request for Expression of Interest,OP00406306,Argentina,2025,,World Bank,MDB-financed,IBRD94550,ICT Services; ICT Infrastructure; Public Administration - Information and Communications Technologies,consulting,,USD,1700000.0,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00406306,,AR-SIP-516706-CS-QCBS,Strengthening data infrastructure to close the digital gap in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00406306
P178609,Invitation for Bids,OP00416620,Argentina,2025,,World Bank,MDB-financed,IBRD94550,Info & Communication,goods,,USD,6000000.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00416620,,AR-SIP-497548-GO-RFB,Strengthening data infrastructure to close the digital gap in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00416620
P178609,Contract Award,OP00416005,Argentina,2025,2025/12/03,World Bank,MDB-financed,IBRD94550,Info & Communication,goods,,USD,8610000.08,Month,24.0,730.0,DATASTAR ARGENTINA S.A.,787109,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00416005,2025/12/03,AR-SIP-507161-GO-RFB,Strengthening data infrastructure to close the digital gap in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00416005
P178609,Contract Award,OP00415370,Argentina,2025,2025/12/01,World Bank,MDB-financed,IBRD94550,Info & Communication,goods,,USD,4960988.0,Month,24.0,730.0,PROGUIDE S.R.L,929948,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00415370,2025/12/01,AR-SIP-483003-GO-RFB,Strengthening data infrastructure to close the digital gap in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00415370
P181970,Request for Expression of Interest,OP00415095,Argentina,2025,,World Bank,MDB-financed,TFC8842,ICT,consulting,,USD,50000.0,,,,,,,,,,,,,,,,Least Cost Selection,,,1.0,,OP00415095,,AR-U.P.E.F.E -509597-CS-LCS,GFPP - Sustainable Infrastructure for Tourism in Patagonia Phase 1 - Province of Neuquen,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00415095
P179534,Contract Award,OP00413182,Argentina,2025,2025/12/02,World Bank,MDB-financed,IBRD95410,Health,goods,,USD,68598.4,Day,75.0,75.0,EXO S.A.,85791,Argentina,0.0,,3.0,0.0,Argentina,109280.00,Argentina; Argentina; Argentina,USD; USD,110400.00; 109280.00,Request for Bids,,,,1.0,OP00413182,2025/12/02,AR-DPOMFB-495598-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00413182
P179534,Contract Award,OP00413181,Argentina,2025,2025/12/02,World Bank,MDB-financed,IBRD95410,Health,goods,,USD,44334.4,Day,75.0,75.0,EXO S.A.,85791,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00413181,2025/12/02,AR-DPOMFB-495598-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00413181
P179534,Contract Award,OP00413180,Argentina,2025,2025/12/02,World Bank,MDB-financed,IBRD95410,Health,goods,,USD,772616.0,Day,90.0,90.0,EXO S.A.,85791,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00413180,2025/12/02,AR-DPOMFB-495598-GO-RFB,Strengthening the Digital Health Agenda in the Province of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00413180
P175669,Contract Award,OP00412937,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,218678779.75,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412937,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412937
P175669,Contract Award,OP00412931,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,182585001.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412931,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412931
P175669,Contract Award,OP00412935,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,237772579.75,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412935,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412935
P175669,Contract Award,OP00412929,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,182585001.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412929,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412929
P175138,Invitation for Bids,OP00377605,Argentina,2025,,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,works,,USD,10000000.0,,,,,,,,,,,,,,,,Request for Bids,,,,,OP00377605,,AR-DGPPSE - ADIF-256641-CW-RFB,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00377605
P175669,Contract Award,OP00412924,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,225043379.75,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412924,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412924
P175669,Contract Award,OP00412927,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,225043379.75,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412927,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412927
P175669,Contract Award,OP00412941,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,222503917.5,Day,90.0,90.0,ANDARIEGA SOLUCIONES HABITACIONALES,1010114,Argentina,0.0,,7.0,0.0,Argentina,228410121.65,Argentina; Argentina; Argentina; Argentina; Argentina; Argentina; Argentina,ARS,228410121.65,Request for Bids,,,,1.0,OP00412941,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412941
P175669,Contract Award,OP00412930,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,176220401.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412930,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412930
P175669,Contract Award,OP00412940,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,176220401.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412940,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412940
P175669,Contract Award,OP00412936,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,163491201.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412936,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412936
P175669,Contract Award,OP00412934,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,188949601.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412934,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412934
P175669,Contract Award,OP00412939,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,188949601.65,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412939,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412939
P175669,Contract Award,OP00412933,Argentina,2025,2025/11/19,World Bank,MDB-financed,IBRD93350,Agriculture,goods,,ARS,225043379.75,Day,90.0,90.0,ECOSAN S.A.,633241,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00412933,2025/11/19,AR-APN-284062-GO-RFB,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00412933
