project_id,notice_type,notice_no,country,year_awarded,date_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P175138,Contract Award,OP00265750,Argentina,2023,2023/03/03,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,,USD,34032.0,Day,210.0,210.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00265750,2023/03/03,AR-DGPPSE - ADIF-326182-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00265750
P175138,Contract Award,OP00265658,Argentina,2023,2023/05/30,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,,USD,25800.0,Day,180.0,180.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00265658,2023/05/30,AR-DGPPSE - ADIF-333492-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00265658
P175138,Contract Award,OP00264934,Argentina,2023,2023/11/23,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,,USD,16000.0,Day,90.0,90.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00264934,2023/11/23,AR-DGPPSE - ADIF-376604-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264934
P175138,Contract Award,OP00264739,Argentina,2023,2023/11/23,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,,USD,15000.0,Day,240.0,240.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00264739,2023/11/23,AR-DGPPSE - ADIF-372838-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264739
P175138,Contract Award,OP00264485,Argentina,2023,2023/05/30,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,,USD,11500.0,Day,180.0,180.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00264485,2023/05/30,AR-DGPPSE - ADIF-326196-CS-INDV,Buenos Aires – Mitre Passenger Railway Line Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264485
P162316,Contract Award,OP00263529,Argentina,2023,2023/11/23,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",works,,ARS,1665694513.04,Month,12.0,365.0,IVECOR S.A.,664940.0,Argentina,0.0,,1.0,1.0,,,,,,Request for Bids,,,,1.0,OP00263529,2023/11/23,AR-UCAR-377157-CW-RFB,Integrated Risk Management in the Rural Agroindustrial System,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00263529
P162316,Contract Award,OP00263578,Argentina,2023,2023/11/16,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",works,,ARS,849737854.45,Month,18.0,548.0,SYLPA S.R.L.,65691.0,Argentina,0.0,,2.0,0.0,Argentina,1147366883.99,Argentina; Argentina,ARS; ARS,1147366883.99; 1697690923.99,Request for Bids,,,,1.0,OP00263578,2023/11/16,AR-UCAR-311331-CW-RFB,Integrated Risk Management in the Rural Agroindustrial System,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00263578
P161798,Contract Award,OP00263352,Argentina,2023,2023/09/29,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,16553.0,Month,6.0,182.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00263352,2023/09/29,AR-UCEPO-356360-CS-INDV,Salado Integrated River Basin Management Support Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00263352
P159929,Contract Award,OP00262587,Argentina,2023,2023/03/30,World Bank,MDB-financed,IBRD87120,Sub-National Government; Public Administration - Financial Sector,consulting,,ARS,17975155.0,Day,2.0,2.0,GRUPO SIETE SOLUCIONES INTEGRALES SRL,752865.0,Argentina,0.0,,3.0,0.0,Argentina,19442280.00,Argentina; Argentina; Argentina,ARS; ARS; ARS,20542412.00; 23537276.00; 19442280.00,Request for Quotations,,,,1.0,OP00262587,2023/03/30,AR-MDTH-343425-NC-RFQ,Integrated Habitat and Housing Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00262587
P176781,Contract Award,OP00262638,Argentina,2023,2023/07/28,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,consulting,,ARS,120000.0,Year,3.0,1095.0,IRAM,178626.0,Argentina,0.0,,1.0,1.0,,,,,,Direct Selection,,,,1.0,OP00262638,2023/07/28,AR-MTESS-350023-NC-DIR,Promoting Better Jobs through Integrated Labor and Skills Programs,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00262638
P145686,Contract Award,OP00261937,Argentina,2023,2023/04/01,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,5000.0,Month,6.0,182.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261937,2023/04/01,AR-UFOMC-392393-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261937
P174946,Contract Award,OP00261761,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,40000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261761,2023/11/27,AR-SIP-393278-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261761
P145686,Contract Award,OP00261748,Argentina,2023,2023/04/01,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,5000.0,Month,4.0,122.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261748,2023/04/01,AR-UFOMC-392399-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261748
P174946,Contract Award,OP00261757,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,40000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261757,2023/11/27,AR-SIP-393278-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261757
P174946,Contract Award,OP00261686,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,33000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261686,2023/11/27,AR-SIP-393279-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261686
P174946,Contract Award,OP00261693,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,60000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261693,2023/11/27,AR-SIP-393272-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261693
P174946,Contract Award,OP00261700,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,38000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261700,2023/11/27,AR-SIP-393273-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261700
P174946,Contract Award,OP00261737,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,75000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261737,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261737
P174946,Contract Award,OP00261735,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,33000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261735,2023/11/27,AR-SIP-393274-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261735
P174946,Contract Award,OP00261738,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,75000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261738,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261738
P145686,Contract Award,OP00261781,Argentina,2023,2023/07/01,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,5000.0,Month,2.0,61.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261781,2023/07/01,AR-UFOMC-392404-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261781
P174946,Contract Award,OP00261753,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,75000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261753,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261753
P174946,Contract Award,OP00261417,Argentina,2023,2023/11/27,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,,USD,45000.0,Month,1.0,30.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261417,2023/11/27,AR-SIP-393268-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261417
P145686,Contract Award,OP00261185,Argentina,2023,2023/04/27,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,5000.0,Month,4.0,122.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261185,2023/04/27,AR-UFOMC-392398-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261185
P175669,Contract Award,OP00260735,Argentina,2023,2023/05/17,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,,USD,95000.0,Day,319.0,319.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00260735,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260735
P175669,Contract Award,OP00260744,Argentina,2023,2023/05/17,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,,USD,95000.0,Day,226.0,226.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00260744,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260744
P175669,Contract Award,OP00260745,Argentina,2023,2023/05/17,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,,USD,95000.0,Day,226.0,226.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00260745,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260745
P175669,Contract Award,OP00260728,Argentina,2023,2023/05/17,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,,USD,95000.0,Day,226.0,226.0,Individual Consultant,,Argentina,0.0,,1.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00260728,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260728
