project_id,notice_type,notice_no,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P121836,Contract Award,OP00029840,Argentina,2014,World Bank,MDB-financed,,"Public Administration - Financial Sector; Sub-National Government; Public Administration - Water, Sanitation and Waste Management; ICT Services; Public Administration - Information and Communications Technologies; Other Information and Communications Technologies; Sub-National Government; Health; Public Administration - Financial Sector; Public Administration - Health",,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00029840,,Contrato de Auditoria Concurrente y Fina,Public Sector Strengthening Program - APL1,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029840
P118540,Contract Award,OP00029721,Brazil,2014,World Bank,MDB-financed,,"Other Agriculture, Fishing and Forestry; Agricultural markets, commercialization and agri-business; Other Water Supply, Sanitation and Waste Management; Other Agriculture, Fishing and Forestry; Agricultural markets, commercialization and agri-business; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00029721,,,Santa Catarina Rural Competitiveness,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029721
P110599,Contract Award,OP00029650,Argentina,2014,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Public Administration - Health,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00029650,,FESP II-843-SBCC-CF,Essential Public Health Functions Programs II Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029650
P089898,Contract Award,OP00029454,Guatemala,2014,World Bank,MDB-financed,,Secondary Education; Other Public Administration; Primary Education; Social Protection; Social Protection,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029454,,LPI-BNS-BIRF-7430-GU-01-2014,EDUCATION QUALITY AND SECONDARY EDUCATION,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029454
P127226,Contract Award,OP00029466,St. Lucia,2014,World Bank,MDB-financed,,"Rural and Inter-Urban Roads; Social Protection; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management; Water Supply; Other Transportation; Other Public Administration; Rural and Inter-Urban Roads; Social Protection; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management; Water Supply; Other Transportation; Other Public Administration",,,USD,,Week,10.0,70.0,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029466,,DVRP-G-ICB-MNRW-01-14,Saint Lucia Disaster Vulnerability Reduction Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029466
P131094,Contract Award,OP00029407,Honduras,2014,World Bank,MDB-financed,,"Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management; Sub-National Government; ICT Infrastructure; Other Public Administration; Other Transportation; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management; Sub-National Government; ICT Infrastructure; Other Public Administration; Other Transportation",goods,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029407,,PGRD-01-LPI-SNC-2014,Disaster Risk Management Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029407
P110462,Contract Award,OP00029367,Argentina,2014,World Bank,MDB-financed,,Mining; Public Administration - Energy and Extractives; Renewable Energy Biomass; Central Government (Central Agencies),,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00029367,,144 SBCC - CF,Argentina Mining Environmental Restoration Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029367
P087106,Contract Award,OP00029311,Guatemala,2014,World Bank,MDB-financed,,"Central Government (Central Agencies); Sub-National Government; Other Agriculture, Fishing and Forestry; Sub-National Government",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029311,,LPI No. RIC-BIRF-7417-GU/001-2013,LAND ADMINISTRATION II APL,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029311
P104034,Contract Award,OP00029182,Honduras,2014,World Bank,MDB-financed,,Energy Transmission and Distribution; Other Energy and Extractives; Public Administration - Energy and Extractives; Power; ICT Infrastructure,,,USD,,Month,2.0,61.0,,,,,,,,,,,,,,,,,,OP00029182,,,Power Sector Efficiency Enhancement Project (PROMEF),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029182
P083952,Contract Award,OP00029270,Nicaragua,2014,World Bank,MDB-financed,,Rural and Inter-Urban Roads; Central Government (Central Agencies); Roads and highways,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029270,,LPI-003-2014,Fourth Roads Rehabilitation and Maintenance Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029270
